Sex,FacultyName,HomeRegion
Female,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,South
Female,School of Liberal Arts,North
Female,School of Liberal Arts,South
Female,School of Liberal Arts,North
Female,School of Liberal Arts,Central
Male,School of Liberal Arts,North
Male,School of Liberal Arts,North East
Male,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Male,School of Liberal Arts,South
Female,School of Liberal Arts,Central
Female,School of Liberal Arts,South
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,East
Female,School of Liberal Arts,East
Female,School of Liberal Arts,Central
Female,School of Liberal Arts,Central
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Male,School of Liberal Arts,North
Female,School of Liberal Arts,East
Female,School of Liberal Arts,South
Male,School of Liberal Arts,South
Female,School of Liberal Arts,North
Female,School of Liberal Arts,South
Male,School of Liberal Arts,Central
Female,School of Liberal Arts,North East
Female,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Male,School of Liberal Arts,North
Male,School of Liberal Arts,South
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Female,School of Liberal Arts,Central
Male,School of Liberal Arts,North
Female,School of Liberal Arts,Central
Female,School of Liberal Arts,South
Male,School of Liberal Arts,North
Male,School of Liberal Arts,South
Female,School of Liberal Arts,North
Male,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,Central
Female,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Female,School of Liberal Arts,North
Male,School of Liberal Arts,Central
Female,School of Liberal Arts,North
Female,School of Liberal Arts,North East
Female,School of Liberal Arts,North East
Female,School of Liberal Arts,North
Male,School of Liberal Arts,North
Male,School of Liberal Arts,North
Female,School of Liberal Arts,North
Female,School of Liberal Arts,South
Female,School of Liberal Arts,North
Female,School of Liberal Arts,South
Female,School of Liberal Arts,North
Male,School of Science,North
Female,School of Science,North
Male,School of Science,South
Male,School of Science,East
Female,School of Science,North East
Female,School of Science,Central
Female,School of Science,East
Female,School of Science,East
Female,School of Science,North
Male,School of Science,Central
Female,School of Science,North East
Female,School of Science,North
Female,School of Science,South
Female,School of Science,North East
Female,School of Science,North
Female,School of Science,North East
Male,School of Science,South
Male,School of Science,North
Female,School of Science,North
Male,School of Science,Central
Female,School of Science,North
Male,School of Science,North
Female,School of Science,North
Female,School of Science,North East
Female,School of Science,South
Female,School of Science,North East
Female,School of Science,North
Female,School of Science,North East
Female,School of Science,North
Male,School of Science,North
Female,School of Science,Central
Male,School of Science,South
Female,School of Science,North
Female,School of Science,West
Female,School of Science,Central
Female,School of Science,North
Female,School of Science,North
Female,School of Science,North East
Female,School of Science,South
Female,School of Science,West
Female,School of Science,East
Male,School of Science,North
Female,School of Science,East
Female,School of Science,North
Male,School of Science,South
Male,School of Science,North
Female,School of Science,North East
Female,School of Science,West
Male,School of Science,North
Female,School of Science,South
Male,School of Science,Central
Male,School of Science,North
Female,School of Science,Central
Female,School of Science,North
Female,School of Science,North
Female,School of Science,East
Male,School of Science,North
Female,School of Science,North
Female,School of Science,North
Female,School of Science,Central
Male,School of Science,North
Female,School of Science,East
Female,School of Science,North
Female,School of Management,South
Female,School of Management,Central
Female,School of Management,Central
Female,School of Management,North
Male,School of Management,Central
Female,School of Management,North
Male,School of Management,South
Male,School of Management,Central
Male,School of Management,Central
Female,School of Management,North
Female,School of Management,South
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North
Male,School of Management,North
Female,School of Management,South
Female,School of Management,South
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North East
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North
Male,School of Management,South
Female,School of Management,North East
Male,School of Management,South
Male,School of Management,North
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,South
Female,School of Management,Central
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,North
Female,School of Management,South
Female,School of Management,North
Male,School of Management,South
Female,School of Management,South
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,East
Female,School of Management,North
Male,School of Management,North
Male,School of Management,North
Female,School of Management,North
Male,School of Management,Central
Female,School of Management,North
Male,School of Management,North
Female,School of Management,Central
Female,School of Management,South
Female,School of Management,South
Male,School of Management,North
Female,School of Management,North
Female,School of Management,East
Female,School of Management,West
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North
Male,School of Management,North
Female,School of Management,East
Female,School of Management,North
Female,School of Management,South
Female,School of Management,South
Male,School of Management,Central
Female,School of Management,West
Female,School of Management,East
Male,School of Management,South
Female,School of Management,Central
Male,School of Management,North
Male,School of Management,South
Male,School of Management,North East
Female,School of Management,North
Male,School of Management,South
Male,School of Management,North
Male,School of Management,North East
Female,School of Management,Central
Male,School of Management,North
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North East
Male,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Male,School of Management,North
Male,School of Management,North East
Male,School of Management,North
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North East
Male,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North
Male,School of Management,Central
Male,School of Management,North
Female,School of Management,North East
Female,School of Management,Central
Female,School of Management,South
Male,School of Management,East
Female,School of Management,North East
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Male,School of Management,Central
Female,School of Management,East
Female,School of Management,Central
Female,School of Management,North East
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North East
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,North East
Male,School of Management,North
Male,School of Management,South
Male,School of Management,North
Female,School of Management,North
Male,School of Management,North
Male,School of Management,North East
Female,School of Management,North
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North
Male,School of Management,North
Female,School of Management,South
Female,School of Management,South
Female,School of Management,North
Female,School of Management,North
Female,School of Management,South
Female,School of Management,Central
Male,School of Management,South
Female,School of Management,North
Male,School of Management,South
Female,School of Management,North East
Female,School of Management,North East
Male,School of Management,North
Male,School of Management,South
Female,School of Management,South
Female,School of Management,South
Female,School of Management,East
Female,School of Management,North
Male,School of Management,West
Female,School of Management,North East
Female,School of Management,South
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North
Female,School of Management,West
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,East
Female,School of Management,North
Female,School of Management,North East
Male,School of Management,North
Male,School of Management,North
Female,School of Management,North
Male,School of Management,South
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,Central
Female,School of Management,North
Female,School of Management,South
Male,School of Management,North
Female,School of Management,West
Female,School of Management,South
Female,School of Management,North
Male,School of Management,North East
Male,School of Management,North
Male,School of Management,North
Female,School of Management,West
Male,School of Management,Central
Female,School of Management,North
Male,School of Management,South
Male,School of Management,South
Male,School of Management,North
Female,School of Management,Central
Male,School of Management,North
Male,School of Management,North
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North
Male,School of Management,North
Male,School of Management,South
Male,School of Management,South
Female,School of Management,North
Male,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,West
Female,School of Management,North
Female,School of Management,North East
Male,School of Management,North
Male,School of Management,North
Female,School of Management,North East
Female,School of Management,North
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,South
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North East
Male,School of Management,Central
Female,School of Management,South
Female,School of Management,North East
Female,School of Management,North East
Female,School of Management,South
Female,School of Management,East
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North
Male,School of Management,North
Female,School of Management,South
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North East
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,Central
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North East
Female,School of Management,South
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,North
Female,School of Management,North
Female,School of Management,East
Male,School of Management,Central
Male,School of Management,Central
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Male,School of Management,North East
Female,School of Management,East
Female,School of Management,Central
Male,School of Management,South
Female,School of Management,South
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,South
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,Central
Female,School of Management,North
Female,School of Management,South
Female,School of Management,East
Male,School of Management,North East
Female,School of Management,North East
Female,School of Management,North
Female,School of Management,Central
Male,School of Management,South
Female,School of Management,South
Female,School of Management,North
Female,School of Management,North
Female,School of Management,North
Male,School of Management,Central
Female,School of Management,Central
Male,School of Management,North East
Male,School of Management,South
Male,School of Management,Central
Male,School of Management,Central
Male,School of Management,North
Female,School of Management,Central
Female,School of Management,Central
Female,School of Management,Central
Female,School of Management,East
Female,School of Management,North
Male,School of Management,South
Male,School of Management,South
Male,School of Management,North
Female,School of Management,East
Male,School of Management,North
Female,School of Management,West
Female,School of Management,Central
Female,School of Management,East
Female,School of Management,South
Female,School of Management,North
Male,School of Management,North East
Female,School of Management,South
Male,School of Management,North
Female,School of Management,North East
Female,School of Management,North East
Female,School of Management,East
Female,School of Management,Central
Female,School of Management,North East
Male,School of Management,North
Male,School of Management,North
Male,School of Management,Central
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,South
Female,School of Management,North
Female,School of Management,Central
Female,School of Management,North East
Female,School of Management,North
